◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
4,78050.43,1108.8,7046.353,64703.603,184.237,1650.01,701.52,
5,79341.696,1151.01,7046.353,65982.662,152.344,1650.0,729.1,
6,80148.012,1257.09,19516.177,54387.097,198.856,1650.01,782.53,
7,82696.391,1452.07,19516.177,56865.229,117.488,1715.79,822.67,
8,86139.324,1620.24,16391.624,63603.294,242.111,2101.43,878.0,
9,88503.194,1761.96,16391.624,65899.278,137.097,2188.67,878.0,
10,89337.627,1776.35,16391.624,66710.601,109.776,2203.59,878.0,
11,89354.818,1765.43,16391.624,66724.39,113.334,2197.88,878.0,
12,89026.676,1758.79,16391.624,66411.787,126.078,2175.47,878.0,
13,88901.972,1761.7,16391.624,66299.369,140.418,2185.02,878.0,
14,88861.478,1794.19,16391.624,66273.804,164.358,2151.78,878.0,
15,88894.953,1805.43,16391.624,66303.937,159.226,2167.91,878.0,
16,89230.11,1806.92,16391.624,66633.139,142.495,2245.99,1079.15,
17,90049.19,1827.35,16391.624,67414.292,115.386,2141.97,1088.81,
18,91517.821,1841.84,16391.624,68824.709,43.188,2208.99,1114.2,
19,91443.326,1846.0,30756.0,54420.75,69.038,2220.44,1146.65,
20,89552.389,1801.44,30756.0,52549.453,99.456,2088.68,961.0,
21,86988.76,1648.84,30756.0,50062.404,194.896,1995.99,961.0,
22,83400.126,1381.25,30756.0,46626.776,396.046,1650.01,847.36,
23,81301.334,1152.22,7046.353,67843.639,26.996,1650.01,708.99,
0,79283.442,1026.17,7046.353,65953.068,77.841,1650.01,612.11,
1,77722.13,982.3,7046.353,64473.432,151.863,1650.01,578.33,
2,76821.652,954.81,7046.353,63630.544,198.81,1650.01,540.96,
3,76663.632,939.16,7046.353,63488.583,215.581,1650.01,525.62,
4,77146.94,975.88,7046.353,63956.408,204.74,1650.01,554.47,
5,78051.759,988.14,7046.353,64800.309,158.734,1650.01,558.74,
6,78585.838,1033.05,19516.177,52918.781,192.866,1650.01,573.61,
7,80791.35,1148.59,19516.177,55020.471,100.257,1650.01,631.83,
8,83701.755,1380.5,16391.624,61206.103,264.518,1650.01,757.69,
9,85946.333,1494.64,16391.624,63388.52,191.212,1814.9,834.88,
10,87054.887,1523.46,16391.624,64444.892,141.22,1856.07,863.73,
11,87236.88,1561.71,16391.624,64568.784,123.419,1948.42,905.76,
12,87135.972,1550.15,16391.624,64461.53,127.454,1853.39,906.82,
13,87166.877,1559.67,16391.624,64486.147,126.906,1862.66,917.37,
14,87378.102,1629.25,16391.624,64740.95,139.99,1971.93,954.0,
15,87886.876,1749.68,16391.624,65275.059,133.461,2044.48,1010.11,
16,88622.757,1781.94,16391.624,66039.006,119.114,2134.75,1010.3,
17,89684.412,1792.13,16391.624,67108.072,77.047,2162.39,1028.87,
18,91041.429,1796.86,16391.624,68461.561,43.451,2197.58,1036.25,
19,91088.495,1796.98,30756.0,54167.693,67.841,2246.77,1063.76,
20,89436.148,1749.02,30756.0,52547.459,105.232,2142.78,961.0,
21,86712.684,1591.54,30756.0,49890.353,195.766,2065.76,930.73,
22,82764.615,1408.58,30756.0,46059.856,433.41,1682.32,840.11,
23,80445.38,1156.43,7046.353,67010.319,41.288,1650.01,688.63,
0,78681.269,1051.04,7046.353,65265.067,86.545,1650.01,609.64,
1,77392.092,996.68,7046.353,64036.312,155.298,1650.01,565.42,
2,76697.702,972.09,7046.353,63376.725,194.7,1650.01,547.31,
3,76929.552,972.84,7046.353,63631.088,215.56,1650.01,533.31,
4,78293.378,1056.18,7046.353,64971.802,205.941,1650.01,568.02,
5,80813.156,1293.48,7046.353,67325.696,143.373,1650.01,719.99,
6,83777.388,1479.45,19516.177,57766.011,163.125,1808.28,819.52,
7,87963.405,1669.59,19516.177,61728.334,68.392,2202.28,911.86,
8,91479.955,1742.81,16391.624,68490.695,202.613,2377.37,925.97,
9,93522.381,1772.07,16391.624,70456.508,158.598,2335.6,949.92,
10,93652.197,1759.11,16391.624,70562.613,140.926,2225.43,971.91,
11,93053.448,1741.83,16391.624,69937.189,136.638,2232.7,975.44,
